elapsed_seconds,aggregate_compiler_rss_bytes,active_compilers
15.806,2199044096,4
15.861,2245820416,4
15.917,2292301824,4
15.972,2336112640,4
16.026,2379268096,4
16.081,2416394240,4
16.134,2448752640,4
16.189,2481930240,4
16.240,2510864384,4
16.292,2551054336,4
16.348,2589900800,4
16.403,2736439296,4
16.458,2960343040,4
16.509,3369517056,4
16.564,3764518912,4
16.614,3956572160,4
16.670,4230316032,4
16.725,4284612608,4
16.780,4344578048,4
16.835,4407918592,4
16.891,4587683840,4
16.946,4817944576,4
16.998,5122949120,4
17.053,5344509952,4
17.106,5476384768,4
17.161,5509873664,4
17.217,5535678464,4
17.272,4352475136,4
17.328,4387782656,3
17.385,4406689792,4
17.440,4539334656,4
17.492,4595679232,4
17.547,3082862592,4
17.603,3117088768,3
17.660,3144187904,4
17.715,3243573248,4
17.771,3296722944,4
17.822,3336634368,4
17.877,3378118656,4
17.933,3414999040,4
17.984,3443785728,4
18.039,3477225472,4
18.095,3514531840,4
18.150,3546316800,4
18.205,3575889920,4
18.258,3609378816,4
18.313,3636690944,4
18.368,3661824000,4
18.424,3687645184,4
18.479,3718135808,4
18.532,3810377728,4
18.587,4048863232,4
18.643,4282482688,4
18.698,4505206784,4
18.752,4526948352,4
18.807,4557750272,4
18.860,4606050304,4
18.914,4639211520,4
18.969,4670029824,4
19.024,3415375872,4
19.080,3690594304,3
19.136,3909844992,4
19.191,4164190208,4
19.247,4207394816,4
19.302,4256792576,4
19.356,4321312768,4
19.412,4365107200,4
19.466,4400414720,4
19.521,4454498304,4
19.574,4513497088,4
19.627,4538695680,4
19.680,4559945728,4
19.736,4580409344,4
19.790,4597792768,4
19.845,4614193152,4
19.900,3064561664,4
19.956,3075670016,3
20.013,3095494656,4
20.065,3184345088,4
20.120,3229483008,4
20.175,3273474048,4
20.227,3305291776,4
20.280,3335716864,4
20.335,3368173568,4
20.390,3396435968,4
20.446,1936539648,4
20.500,2111700992,3
20.557,2349449216,4
20.612,2667397120,4
20.665,2963865600,4
20.720,3005349888,4
20.774,3062611968,4
20.830,3129999360,4
20.885,3193864192,4
20.940,3241263104,4
20.991,1970143232,4
21.044,2040610816,3
21.100,2086830080,4
21.156,2196013056,4
21.209,2248654848,4
21.264,2294136832,4
21.319,2342338560,4
21.374,2594848768,4
21.427,2877734912,4
21.482,3125444608,4
21.537,3305291776,4
21.590,3340812288,4
21.646,3388112896,4
21.698,3455156224,4
21.753,3495215104,4
21.806,3527016448,4
21.861,3585114112,4
21.915,3804643328,4
21.970,4043161600,4
22.023,4270243840,4
22.078,4521607168,4
22.133,4558618624,4
22.188,4592795648,4
22.243,4633968640,4
22.299,4674797568,4
22.352,4710858752,4
22.406,4742807552,4
22.462,4960993280,4
22.517,5184733184,4
22.572,5415632896,4
22.623,5651955712,4
22.678,5687836672,4
22.733,5716852736,4
22.786,5744459776,4
22.841,5781258240,4
22.897,5815369728,4
22.952,5831131136,4
23.005,5887098880,4
23.061,5914951680,4
23.115,5925076992,4
23.170,5940445184,4
23.224,5946310656,4
23.280,5952864256,4
23.335,5959090176,4
23.386,5960466432,4
23.437,5964808192,4
23.493,5969805312,4
23.547,5973377024,4
23.602,5974589440,4
23.657,5979586560,4
23.713,5981896704,4
23.768,5987745792,4
23.822,5995036672,4
23.877,5998034944,4
23.931,6000033792,4
23.982,4522754048,4
24.033,4525293568,3
24.090,4535025664,4
24.146,4616339456,4
24.201,4648992768,4
24.256,4677894144,4
24.311,4700864512,4
24.367,4720197632,4
24.422,4743102464,4
24.477,4761092096,4
24.532,4781129728,4
24.587,4803264512,4
24.639,4825546752,4
24.694,4841439232,4
24.748,3320823808,4
24.804,3330605056,3
24.858,3342925824,4
24.913,3432890368,4
24.969,3475259392,4
25.024,3675717632,4
25.079,2343043072,4
25.135,2553446400,3
25.192,2589917184,4
25.247,2707996672,4
25.302,2788589568,4
25.355,2850340864,4
25.406,2920185856,4
25.459,2965372928,4
25.514,3004203008,4
25.570,3037216768,4
25.624,3072851968,4
25.674,3099607040,4
25.730,3128295424,4
25.781,3158999040,4
25.836,3185180672,4
25.889,3210854400,4
25.943,3409969152,4
25.998,3654156288,4
26.053,3852451840,4
26.108,3942121472,4
26.163,3977461760,4
26.216,4025597952,4
26.271,4273307648,4
26.323,4524916736,4
26.375,4757520384,4
26.430,4822450176,4
26.485,4859904000,4
26.541,4904206336,4
26.596,4941447168,4
26.651,4967481344,4
26.706,5026119680,4
26.762,5055381504,4
26.817,5073108992,4
26.872,5091508224,4
26.927,4034822144,4
26.984,4053450752,3
27.041,4060397568,4
27.093,4139843584,4
27.149,4181524480,4
27.204,4214210560,4
27.258,2972467200,3
27.315,1740832768,3
27.372,1842118656,4
27.427,1966735360,4
27.483,2037366784,4
27.538,2097184768,4
27.589,2148483072,4
27.643,2195210240,4
27.699,2268823552,4
27.754,2520891392,4
27.809,2705932288,4
27.864,2751938560,4
27.920,2822127616,4
27.973,2865856512,4
28.028,2922250240,4
28.083,2961981440,4
28.139,3000827904,4
28.194,3045507072,4
28.248,3070279680,4
28.303,3094167552,4
28.358,3116023808,4
28.414,3137093632,4
28.468,3251257344,4
28.523,3677929472,4
28.578,4143120384,4
28.633,4542447616,4
28.689,4628791296,4
28.744,4670996480,4
28.798,4740792320,4
28.853,4788862976,4
28.908,4828626944,4
28.964,4906467328,4
29.016,4968660992,4
29.067,4987338752,4
29.122,5010374656,4
29.175,5033721856,4
29.230,5055037440,4
29.285,5062017024,4
29.339,5073731584,4
29.394,5081956352,4
29.447,5096128512,4
29.502,5119819776,4
29.557,1330085888,4
29.613,1331691520,1
29.672,1335279616,4
29.725,1554644992,4
29.777,1642692608,4
29.831,1711898624,4
29.883,1781137408,4
29.938,1842544640,4
29.993,1905016832,4
30.048,1960378368,4
30.103,2005024768,4
30.156,2048917504,4
30.211,2094448640,4
30.266,2143813632,4
30.322,812351488,4
30.378,846168064,3
30.434,877461504,4
30.487,993148928,4
30.539,1056735232,4
30.595,1127170048,4
30.649,1183039488,4
30.704,1234567168,4
30.758,1286225920,4
30.814,1333542912,4
30.864,1374273536,4
30.917,1416921088,4
30.972,1461092352,4
31.027,1508278272,4
31.081,2181054464,4
31.135,2947416064,4
31.190,3533881344,4
31.246,4095442944,4
31.301,4138106880,4
31.356,4211015680,4
31.411,4330520576,4
31.467,4407721984,4
31.522,4470013952,4
31.577,4560568320,4
31.631,4704026624,4
31.686,4758208512,4
31.742,4790075392,4
