elapsed_seconds,aggregate_compiler_rss_bytes,active_compilers
16.936,6953664512,4
16.997,6972407808,4
17.057,6995214336,4
17.111,7009402880,4
17.172,7025065984,4
17.228,7044104192,4
17.286,7197589504,4
17.347,7611351040,4
17.407,8042250240,4
17.461,8424161280,4
17.522,8458076160,4
17.578,8487256064,4
17.638,8558149632,4
17.699,8677244928,4
17.753,8697937920,4
17.813,8734785536,4
17.870,8840757248,4
17.930,6066061312,4
17.987,6078349312,3
18.049,6096863232,4
18.109,6192136192,4
18.161,6230769664,4
18.222,6268633088,4
18.278,6297944064,4
18.338,6327255040,4
18.395,6353174528,4
18.455,6381617152,4
18.515,6410289152,4
18.570,6428852224,4
18.630,6448267264,4
18.684,6468272128,4
18.744,4278714368,4
18.795,4293132288,3
18.857,4311367680,4
18.917,4410163200,4
18.970,4459986944,4
19.030,4508254208,4
19.086,4550934528,4
19.147,4588732416,4
19.207,4629774336,4
19.261,4660117504,4
19.311,4685791232,4
19.372,4716396544,4
19.432,4752637952,4
19.492,4782751744,4
19.545,4810342400,4
19.605,4837670912,4
19.661,4860837888,4
19.722,4886052864,4
19.778,4909793280,4
19.838,4988895232,4
19.899,5317541888,4
19.959,5513199616,4
20.011,2733834240,4
20.072,2797289472,3
20.130,2899165184,4
20.190,3725017088,4
20.245,4647124992,4
20.305,5828886528,4
20.361,6790135808,4
20.422,7352975360,4
20.482,7534395392,4
20.542,7778566144,4
20.603,8238825472,4
20.663,8360804352,4
20.723,8401698816,4
20.778,8468709376,4
20.838,8579121152,4
20.899,8628551680,4
20.953,8727150592,4
21.013,9302900736,4
21.070,9856253952,4
21.130,10398547968,4
21.188,10712317952,4
21.245,10786799616,4
21.305,10840047616,4
21.365,10925719552,4
21.420,11123343360,4
21.480,11240996864,4
21.536,11324620800,4
21.597,11400544256,4
21.657,11680743424,4
21.711,12061982720,4
21.772,12484984832,4
21.832,12867960832,4
21.887,12905299968,4
21.945,12934987776,4
22.005,13027295232,4
22.061,13119143936,4
22.122,13150568448,4
22.178,13183205376,4
22.238,13246251008,4
22.298,13254983680,4
22.358,13268811776,4
22.418,13282197504,4
22.478,13293813760,4
22.538,13297549312,4
22.596,13299040256,4
22.653,13346963456,4
22.713,10644930560,4
22.774,10706993152,3
22.830,4828741632,4
22.886,4904206336,4
22.947,2791358464,4
23.004,2819309568,2
23.063,2844393472,4
23.120,3016933376,4
23.180,3111845888,4
23.240,3191701504,4
23.301,3257696256,4
23.351,3306471424,4
23.411,3363176448,4
23.472,3421388800,4
23.532,3474145280,4
23.586,3516301312,4
23.647,3560488960,4
23.697,3599106048,4
23.753,3639230464,4
23.813,3681239040,4
23.874,3719872512,4
23.934,4169105408,4
23.986,4523393024,4
24.047,4852695040,4
24.103,4887969792,4
24.163,4937089024,4
24.224,5100830720,4
24.278,5140267008,4
24.338,5192269824,4
24.395,5258362880,4
24.455,5288198144,4
24.515,5380374528,4
24.570,5801279488,4
24.630,6398459904,4
24.686,7178485760,4
24.747,7615021056,4
24.807,8025571328,4
24.867,8131756032,4
24.928,8258584576,4
24.988,8364982272,4
25.045,8488304640,4
25.105,8571813888,4
25.164,6846742528,4
25.225,6921699328,3
25.287,6992101376,4
25.343,4325195776,4
25.407,4382932992,3
25.463,4419141632,4
25.520,4527505408,4
25.580,4589830144,4
25.640,4646780928,4
25.695,4692164608,4
25.755,4730830848,4
25.815,2563506176,4
25.876,2598338560,3
25.930,2626912256,4
25.990,2744614912,4
26.045,2805268480,4
26.103,2860679168,4
26.163,2911600640,4
26.224,849166336,4
26.284,894205952,3
26.346,941965312,4
26.407,1057734656,4
26.467,1131741184,4
26.527,1199751168,4
26.578,1246380032,4
26.638,1305280512,4
26.699,1356431360,4
26.756,1825718272,4
26.815,2098528256,4
26.875,2321907712,4
26.935,2376663040,4
26.996,2875703296,4
27.056,3330162688,4
27.116,3879272448,4
27.170,4083073024,4
27.230,4129243136,4
27.289,4176986112,4
27.345,4338794496,4
27.405,4410769408,4
27.465,4450729984,4
27.526,4518346752,4
27.586,4578295808,4
27.636,4607098880,4
27.697,4631330816,4
27.753,4651630592,4
27.813,4802510848,4
27.870,5261492224,4
27.930,3528343552,3
27.988,4072062976,4
28.048,4311646208,4
28.103,4365893632,4
28.163,4460380160,4
28.224,5036949504,4
28.281,5533483008,4
28.341,6051856384,4
28.402,6219726848,4
28.462,6308003840,4
28.520,6393856000,4
28.580,6554746880,4
28.639,6630129664,4
28.698,5175410688,4
28.756,5226479616,3
28.818,5301125120,4
28.879,5405065216,4
28.939,5468094464,4
28.995,5517033472,4
29.055,5566021632,4
29.115,5599199232,4
29.176,5638635520,4
29.236,5672435712,4
29.295,5704433664,4
29.355,5738971136,4
29.415,3413229568,4
29.476,3438723072,3
29.538,3465592832,4
29.595,3564371968,4
29.655,3628187648,4
29.711,3746971648,4
29.772,4240375808,4
29.832,4713922560,4
29.886,5180850176,4
29.947,5252595712,4
30.006,5302992896,4
30.064,5381324800,4
30.120,5693669376,4
30.180,6126551040,4
30.240,6573867008,4
30.301,6848348160,4
30.361,6926024704,4
30.421,6979420160,4
30.478,7133429760,4
30.538,7183532032,4
30.599,7225180160,4
30.653,7287980032,4
30.713,7317618688,4
30.774,7360380928,4
30.831,7380942848,4
30.889,7398031360,4
30.950,5502353408,4
31.010,5512626176,3
31.072,5523914752,4
31.132,5615058944,4
31.193,5663735808,4
31.245,5699174400,4
31.303,5733400576,4
31.363,5763776512,4
31.420,5791449088,4
31.480,5818957824,4
31.536,5847597056,4
31.591,5869764608,4
31.652,5892177920,4
31.712,5914066944,4
31.770,5934497792,4
31.830,6030852096,4
31.890,4136517632,4
31.945,4586815488,3
32.007,5168037888,4
32.067,5461082112,4
32.126,5524144128,4
32.178,5576867840,4
32.229,5661655040,4
32.289,5821251584,4
32.350,5876498432,4
32.410,5926223872,4
32.470,5999935488,4
32.531,6083624960,4
32.591,6120800256,4
32.645,6152765440,4
32.705,6178799616,4
32.761,6206341120,4
32.822,6235226112,4
32.878,6257557504,4
32.938,6696747008,4
32.999,7091519488,4
33.053,7501660160,4
33.113,7789527040,4
33.170,7862796288,4
33.230,5084364800,4
33.287,5187616768,3
33.348,5299142656,4
33.409,5408309248,4
33.469,5479448576,4
33.520,5572640768,4
33.580,5632049152,4
33.640,5675237376,4
33.698,5705170944,4
33.756,5735235584,4
33.816,3036151808,4
33.870,3056173056,3
33.932,3413966848,4
33.992,3853238272,4
34.045,4312612864,4
34.105,4738859008,4
34.165,4808654848,4
34.220,4861427712,4
34.280,4967137280,4
34.338,5115035648,4
34.395,5157240832,4
34.453,5206556672,4
34.513,5302648832,4
34.574,5362761728,4
34.634,5399429120,4
34.686,5421416448,4
34.747,5475860480,4
34.803,3123593216,3
34.865,3148382208,4
34.925,3249717248,4
34.986,3308470272,4
35.036,3355607040,4
35.097,3403415552,4
35.157,3444359168,4
35.211,3478929408,4
35.272,3516203008,4
35.332,3560210432,4
35.392,3594207232,4
35.452,3625222144,4
35.511,3684499456,4
35.572,1304035328,3
35.634,1335230464,4
35.694,1633058816,4
35.745,2487156736,4
35.805,3542990848,4
35.865,4653318144,4
35.926,4820353024,4
35.986,4883267584,4
36.036,4952948736,4
36.097,5379637248,4
36.157,5915312128,4
36.217,6397526016,4
36.278,6628556800,4
36.338,6779224064,4
36.392,6879281152,4
36.452,7039533056,4
36.511,7083999232,4
36.572,7123320832,4
36.632,7186399232,4
36.689,7212138496,4
36.745,7234437120,4
36.805,7257833472,4
36.865,7281262592,4
36.925,7303954432,4
36.978,7322697728,4
37.038,7338737664,4
37.095,7353712640,4
37.155,7368572928,4
37.215,7380877312,4
37.270,7417233408,4
37.330,7876411392,4
37.386,8274149376,4
37.447,8733835264,4
37.507,8794488832,4
37.561,8815214592,4
37.622,8878178304,4
37.678,7128285184,3
37.740,4776804352,4
37.798,4875517952,3
37.857,4975738880,4
37.914,5104418816,4
37.970,5169922048,4
38.030,5223907328,4
38.086,5269028864,4
38.147,5314347008,4
38.207,5359616000,4
38.261,5390630912,4
38.321,5425627136,4
38.381,5456199680,4
38.441,5486870528,4
38.495,5512658944,4
38.555,5582700544,4
38.614,2828845056,4
38.673,2853093376,3
38.735,2885189632,4
38.795,2993143808,4
38.853,3054813184,4
38.913,904151040,4
38.973,947077120,3
39.035,993427456,4
39.086,1105297408,4
39.147,1183842304,4
39.205,1246363648,4
39.261,1301839872,4
39.321,1354924032,4
39.378,1404698624,4
39.438,1456078848,4
39.498,1503084544,4
39.553,1544814592,4
39.613,2025144320,4
39.669,2484551680,4
39.730,3044065280,4
39.790,3140141056,4
39.845,3187752960,4
39.897,3240574976,4
39.957,3424321536,4
40.012,3549888512,4
40.072,4060921856,4
40.131,4613636096,4
40.189,5212798976,4
40.249,5420367872,4
40.310,5460033536,4
40.370,5503205376,4
40.430,5639176192,4
40.486,5746933760,4
40.546,5788663808,4
40.607,5823594496,4
40.661,5903532032,4
40.722,5960564736,4
